"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,4,-0.236581530530539,-0.597637117319288,0.124474056258209
0.51,4,-0.221146084859514,-0.567199162797001,0.124906993077972
0.52,4,-0.205710639188489,-0.53710511319043,0.125683834813451
0.53,4,-0.190275193517464,-0.50740266110489,0.126852274069961
0.54,4,-0.174839747846439,-0.478147071609282,0.128467575916404
0.55,4,-0.159404302175414,-0.449402238803107,0.130593634452279
0.56,4,-0.143968856504389,-0.421241723007468,0.13330400999869
0.57,4,-0.128533410833364,-0.393749644121835,0.136682822455107
0.58,4,-0.113097965162339,-0.367021234972315,0.140825304647637
0.59,4,-0.097662519491314,-0.341162770317942,0.145837731335314
0.6,4,-0.082227073820289,-0.316290496859105,0.151836349218527
0.61,4,-0.0667916281492639,-0.292528130529886,0.158944874231358
0.62,4,-0.0513561824782388,-0.270002517137211,0.167290152180733
0.63,4,-0.0359207368072137,-0.248837245004543,0.176995771390115
0.64,4,-0.0204852911361887,-0.229144410075333,0.188173827802955
0.65,4,-0.00504984546516357,-0.211015340197536,0.200915649267209
0.66,4,0.0103856002058615,-0.194511717430601,0.215282917842324
0.67,4,0.0258210458768865,-0.179658892752797,0.23130098450657
0.68,4,0.0412564915479115,-0.166442974590723,0.248955957686546
0.69,4,0.0566919372189366,-0.154812436115668,0.268196310553541
0.7,4,0.0721273828899616,-0.144683825988712,0.288938591768635
0.71,4,0.0875628285609867,-0.135950189631627,0.3110758467536
0.72,4,0.102998274232012,-0.128490401426407,0.334486949890431
0.73,4,0.118433719903037,-0.122177820271119,0.359045260077193
0.74,4,0.133869165574062,-0.116887266491492,0.384625597639616
0.75,4,0.149304611245087,-0.112499956762973,0.411109179253147
0.76,4,0.164740056916112,-0.108906510918942,0.438386624751166
0.77,4,0.180175502587137,-0.106008398071682,0.466359403245956
0.78,4,0.195610948258162,-0.103718259396323,0.494940155912648
0.79,4,0.211046393929187,-0.101959504999582,0.524052292857956
0.8,4,0.226481839600212,-0.100665496662397,0.553629175862822
0.81,4,0.241917285271237,-0.0997785372575335,0.583613107800008
0.82,4,0.257352730942263,-0.0992488104086944,0.613954272293219
0.83,4,0.272788176613288,-0.0990333559860524,0.644609709212628
0.84,4,0.288223622284313,-0.0990951270237221,0.675542371592347
0.85,4,0.303659067955338,-0.0994021478381569,0.706720283748832
0.86,4,0.319094513626363,-0.0999267775256477,0.738115804778373
0.87,4,0.334529959297388,-0.100645074282023,0.769704992876799
0.88,4,0.349965404968413,-0.101536251632487,0.801467061569313
0.89,4,0.365400850639438,-0.102582215962603,0.833383917241479
0.9,4,0.380836296310463,-0.103767174570129,0.865439767191055
