"tele_e","lag","estimate_e","lower_ci_e","upper_ci_e"
0.5,4,0.49729980553858,-1.29230579849168,2.28690540956884
0.51,4,0.488146637943128,-1.23243759739408,2.20873087328034
0.52,4,0.478993470347677,-1.17292389285621,2.13091083355156
0.53,4,0.469840302752226,-1.11381079830101,2.05349140380547
0.54,4,0.460687135156775,-1.05515243944501,1.97652670975856
0.55,4,0.451533967561324,-0.997012680993634,1.90008061611628
0.56,4,0.442380799965873,-0.939467289080028,1.82422888901177
0.57,4,0.433227632370422,-0.882606650664083,1.74906191540493
0.58,4,0.424074464774971,-0.826539204855731,1.67468813440567
0.59,4,0.41492129717952,-0.771395781840469,1.60123837619951
0.6,4,0.405768129584069,-0.717335091108927,1.52887135027706
0.61,4,0.396614961988618,-0.664550646074781,1.45778057005202
0.62,4,0.387461794393167,-0.613279441986779,1.38820303077311
0.63,4,0.378308626797715,-0.563812685823474,1.32042993941891
0.64,4,0.369155459202264,-0.516508745927422,1.25481966433195
0.65,4,0.360002291606813,-0.471808126607605,1.19181270982123
0.66,4,0.350849124011362,-0.430249480840293,1.13194772886302
0.67,4,0.341695956415911,-0.392484171482873,1.0758760843147
0.68,4,0.33254278882046,-0.359284401271734,1.02436997891265
0.69,4,0.323389621225009,-0.331536506479,0.978315748929018
0.7,4,0.314236453629558,-0.310207759728997,0.938680666988112
0.71,4,0.305083286034107,-0.296275084235834,0.906441656304047
0.72,4,0.295930118438655,-0.290612441346712,0.882472678224023
0.73,4,0.286776950843205,-0.29385325026119,0.867407151947599
0.74,4,0.277623783247753,-0.306268036765693,0.8615156032612
0.75,4,0.268470615652302,-0.327706250362983,0.864647481667587
0.76,4,0.259317448056851,-0.357629085051263,0.876263981164965
0.77,4,0.2501642804614,-0.395217904685933,0.895546465608732
0.78,4,0.241011112865949,-0.43951241806159,0.921534643793488
0.79,4,0.231857945270498,-0.489533320573318,0.953249211114314
0.8,4,0.222704777675047,-0.544365891673294,0.989775447023387
0.81,4,0.213551610079595,-0.603203210023967,1.03030643018316
0.82,4,0.204398442484144,-0.665359243080865,1.07415612804915
0.83,4,0.195245274888693,-0.730263989292668,1.12075453907005
0.84,4,0.186092107293242,-0.797450131566255,1.16963434615274
0.85,4,0.176938939697791,-0.866537099416237,1.22041497881182
0.86,4,0.16778577210234,-0.937215641398367,1.27278718560305
0.87,4,0.158632604506889,-1.00923424343475,1.32649945244853
0.88,4,0.149479436911438,-1.0823877622025,1.38134663602538
0.89,4,0.140326269315987,-1.15650818003892,1.43716071867089
0.9,4,0.131173101720536,-1.23145720502578,1.49380340846685
0.91,4,0.122019934125085,-1.30712039759277,1.55116026584294
0.92,4,0.112866766529634,-1.38340252529947,1.60913605835873
0.93,4,0.103713598934183,-1.46022389043297,1.66765108830134
0.94,4,0.0945604313387314,-1.53751742179034,1.72663828446781
0.95,4,0.0854072637432804,-1.61522636456998,1.78604089205654
