"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,6,0.0254420073429903,-0.503499531599052,0.554383546285033
0.51,6,0.0169668320403987,-0.49045653477634,0.524390198857137
0.52,6,0.00849165673780627,-0.477601355820291,0.494584669295904
0.53,6,1.64814352148213e-05,-0.46495984335658,0.464992806227009
0.54,6,-0.00845869386737697,-0.452562477310922,0.435645089576168
0.55,6,-0.016933869169969,-0.440445357105972,0.406577618766034
0.56,6,-0.0254090444725612,-0.428651418797951,0.377833329852829
0.57,6,-0.0338842197751523,-0.417231929540439,0.349463489990135
0.58,6,-0.0423593950777444,-0.406248310553226,0.321529520397737
0.59,6,-0.0508345703803366,-0.39577433486459,0.294105194103917
0.6,6,-0.0593097456829279,-0.385898725184538,0.267279233818682
0.61,6,-0.0677849209855205,-0.376728126177437,0.241158284206396
0.62,6,-0.0762600962881119,-0.368390321751897,0.215870129175673
0.63,6,-0.0847352715907032,-0.361037380373258,0.191566837191852
0.64,6,-0.0932104468932961,-0.354848104922067,0.168427211135475
0.65,6,-0.101685622195887,-0.350028721501604,0.14665747710983
0.66,6,-0.110160797498479,-0.346810217399878,0.12648862240292
0.67,6,-0.118635972801071,-0.345440344450922,0.108168398848779
0.68,6,-0.127111148103663,-0.346168492541604,0.0919461963342781
0.69,6,-0.135586323406255,-0.349223022963802,0.0780503761512929
0.7,6,-0.144061498708847,-0.354783544865338,0.0666605474476444
0.71,6,-0.152536674011438,-0.362954221207059,0.0578808731841833
0.72,6,-0.16101184931403,-0.373746260475435,0.0517225618473748
0.73,6,-0.169487024616622,-0.387075942784474,0.0481018935512295
0.74,6,-0.177962199919215,-0.40277894088758,0.0468545410491512
0.75,6,-0.186437375221806,-0.420635622061346,0.0477608716177343
0.76,6,-0.194912550524398,-0.440399195209438,0.0505740941606426
0.77,6,-0.20338772582699,-0.461819900115761,0.0550444484617811
0.78,6,-0.211862901129581,-0.484661923835743,0.0609361215765806
0.79,6,-0.220338076432174,-0.508712914037966,0.068036761173619
0.8,6,-0.228813251734765,-0.53378769202739,0.076161188557859
0.81,6,-0.237288427037358,-0.559728178917217,0.0851513248425013
0.82,6,-0.245763602339949,-0.586401239787439,0.0948740351075423
0.83,6,-0.254238777642541,-0.613695629840642,0.10521807455556
0.84,6,-0.262713952945133,-0.641518756546456,0.116090850656191
0.85,6,-0.271189128247725,-0.669793633946828,0.127415377451377
0.86,6,-0.279664303550316,-0.69845619314312,0.139127586042488
0.87,6,-0.288139478852908,-0.727452992993688,0.151174035287872
0.88,6,-0.2966146541555,-0.756739314131065,0.163510005820065
0.89,6,-0.305089829458092,-0.786277593040518,0.176097934124333
0.9,6,-0.313565004760684,-0.816036145243573,0.188906135722206
