"tele_c","lag","estimate_c","lower_ci_c","upper_ci_c"
0.5,4,0.300693027782511,0.0672607103283226,0.534125345236699
0.51,4,0.292659828166169,0.0693432567947731,0.515976399537565
0.52,4,0.284626628549827,0.071301315532241,0.497951941567414
0.53,4,0.276593428933486,0.0731165476743098,0.480070310192662
0.54,4,0.268560229317144,0.0747671769447648,0.462353281689523
0.55,4,0.260527029700803,0.0762272548865618,0.444826804515043
0.56,4,0.252493830084461,0.077465773038487,0.427521887130435
0.57,4,0.244460630468119,0.0784456057928467,0.410475655143392
0.58,4,0.236427430851778,0.079122281570174,0.393732580133381
0.59,4,0.228394231235436,0.0794426099921035,0.377345852478768
0.6,4,0.220361031619094,0.0793432495508054,0.361378813687383
0.61,4,0.212327832002753,0.0787493975313339,0.345906266474171
0.62,4,0.204294632386411,0.0775739341554403,0.331015330617381
0.63,4,0.196261432770069,0.0757175549811604,0.316805310558978
0.64,4,0.188228233153727,0.073070638994407,0.303385827313048
0.65,4,0.180195033537386,0.0695177078528904,0.290872359221881
0.66,4,0.172161833921044,0.0649451222725577,0.279378545569531
0.67,4,0.164128634304702,0.0592518971286697,0.269005371480735
0.68,4,0.156095434688361,0.0523621678324501,0.259828701544272
0.69,4,0.148062235072019,0.0442363942979503,0.251888075846088
0.7,4,0.140029035455677,0.0348778410724597,0.245180229838895
0.71,4,0.131995835839336,0.0243320255039823,0.239659646174689
0.72,4,0.123962636222994,0.0126793385563223,0.235245933889666
0.73,4,0.115929436606652,2.3429294067373e-05,0.231835443919238
0.74,4,0.107896236990311,-0.0135211696310375,0.229313643611659
0.75,4,0.0998630373739689,-0.027839447480856,0.227565522228794
0.76,4,0.0918298377576276,-0.0428231107933505,0.226482786308606
0.77,4,0.083796638141286,-0.0583746050015558,0.225967881284128
0.78,4,0.0757634385249442,-0.074408669764255,0.225935546814143
0.79,4,0.0677302389086024,-0.0908522813992758,0.226312759216481
0.8,4,0.0596970392922608,-0.10764370079905,0.227037779383572
0.81,4,0.0516638396759191,-0.124731128362713,0.228058807714551
0.82,4,0.0436306400595775,-0.142071271918531,0.229332552037686
0.83,4,0.0355974404432356,-0.159627991770999,0.23082287265747
0.84,4,0.0275642408268942,-0.177371096687348,0.232499578341137
0.85,4,0.0195310412105526,-0.195275312626694,0.234337395047799
0.86,4,0.0114978415942108,-0.213319418961025,0.236315102149447
0.87,4,0.00346464197786885,-0.231485534753717,0.238414818709455
0.88,4,-0.0045685576384724,-0.249758533691284,0.240621418414339
0.89,4,-0.0126017572548144,-0.268125566468921,0.242922051959293
0.9,4,-0.0206349568711558,-0.286575671508329,0.245305757766017
