"","boot","e_lag1","int_e_lag1","c_lag1","int_c_lag1","e_lag2","int_e_lag2","c_lag2","int_c_lag2","e_lag3","int_e_lag3","c_lag3","int_c_lag3","e_lag4","int_e_lag4","c_lag4","int_c_lag4","e_lag5","int_e_lag5","c_lag5","int_c_lag5","e_lag6","int_e_lag6","c_lag6","int_c_lag6","pop","StringencyIndex_Average"
"1",1,0.64994740423368,-0.898544509602551,-0.642762711678423,0.78614928716628,0.878958184637723,-1.34831185212672,0.479010215046633,-0.189332090721407,0.586188322309742,-0.912848393261634,-0.292070727821604,0.475548659684135,0.250100629791066,-0.451217928465656,0.584201148872659,-1.41671866121397,0.712273078913214,-0.934206785927604,-1.05790588134081,1.66257467027171,0.506840872693074,-0.88450103999494,1.01237049385785,-1.0659247477062,7.48015591535991,-0.0141302280088037
"2",2,0.0206391808692006,-0.0505548210419344,-1.03223460324617,1.30952279577512,1.48742801559268,-2.23418892273694,0.669941609147527,-0.376144985248008,0.606830703731997,-0.979504305153006,0.198954743355299,-0.346467172634885,-0.712679229118508,0.988353042387365,0.18479343967716,-0.842004194090069,1.29304193443787,-1.73826400543008,-1.70809244270167,2.7552509595747,-1.02789779441834,1.30980294054191,1.20028702402985,-1.380256697944,6.91981546033424,-0.014963121291264
"3",3,0.482675273114375,-0.608111080355354,-0.298971041771668,0.278560009640804,0.723925854064962,-1.1047920873113,0.34612470674997,-0.0496123724739247,0.672033279551481,-0.996716733219156,-0.23576768104091,0.481730521677561,0.0388787673219596,-0.202011463198405,0.359255201666231,-1.14446802214868,0.571535739463517,-0.705062203513887,-0.747345841918643,1.18897138667772,0.235017703599262,-0.52171056355519,0.83154476963851,-0.773058272822357,5.00293815139547,-0.0142647490087163
"4",4,0.685951105832087,-0.926837212827564,0.0287553612725058,-0.100412710574258,0.181405627330539,-0.401330503103467,0.293542205586207,-0.0297653148962093,0.57244992835348,-0.834832435796701,-0.386818402482361,0.690839422611038,0.198978065544598,-0.389532808435873,-0.018523512688491,-0.628006442743922,-0.00631291029245327,0.0693895457141698,0.197692449062184,-0.0433841883823348,0.62886961282389,-0.994717976264561,0.0180466621851255,0.304020102360052,2.5887518542987,-0.0142523565471513
"5",5,0.468972573275878,-0.584108593216588,-0.72228179514828,0.96616891076045,0.799820967039508,-1.23263281379243,0.740724617347457,-0.629783473504206,0.480056781511631,-0.759318814227454,0.00673577501082157,0.100927107019036,-0.35800434494391,0.439736738101004,-0.312238249577717,-0.197401312766197,0.341274811437043,-0.412082145956984,-0.193074507783057,0.533788352362825,-0.33098033841094,0.343551771700678,0.295416741215561,-0.102737206462168,6.04140209991594,-0.0128334639437941
"6",6,0.215494650081115,-0.329245658996004,-0.658141125952909,0.83570380763761,1.29719493034178,-1.92273552217865,0.719982837094816,-0.531335485324148,1.05748731887166,-1.64193254684846,-0.360209230199247,0.53997871228943,-0.927497816622077,1.34408739991264,0.0208326982613141,-0.594576966167536,1.42414896486411,-1.94127679971498,-0.71977776543811,1.16883073982442,-0.789572380820367,1.01311549076712,0.324868656259608,-0.0310777292112592,3.17632795858531,-0.01440957372083
"7",7,0.510540939522328,-0.675960375824676,-0.160329367044916,0.161304279410272,0.628914207732082,-1.03332185667742,0.432230092616135,-0.169290255512707,0.673470114084223,-0.967234039268691,0.22458910482348,-0.334937203695071,-0.398265435153467,0.514066365519751,-0.754038314218544,0.463277245587905,0.155476220802799,-0.145907294380037,-0.39084682373161,0.921538411253571,-0.221947319982054,0.224846023299608,0.234572467286377,-0.055147858064508,4.07350356777139,-0.0148221459058608
"8",8,0.268289442129404,-0.390033095407646,-0.527434217903831,0.46991915774293,0.300466090244087,-0.418845732460862,0.43610616067946,-0.000117082137395795,0.763425702185493,-1.25321218706005,0.0832108532406002,-0.13825756881675,-0.237256711174731,0.273590105562436,0.274861350362188,-1.00287010672907,0.682797109739885,-0.852649547069223,-1.03741633966668,1.70941756400401,0.0934155937411535,-0.378965309113403,1.10968461145209,-1.19965913846673,9.13599053492508,-0.01875161777553
"9",9,0.353841411722254,-0.591636322951108,-1.30000470175691,1.60596432110052,2.29170065295965,-3.30533456673265,0.731508914710531,-0.321720354356657,1.13779654012519,-1.80321392189005,-0.0868024265262779,-0.0929444133215793,-0.649758936387578,0.912918288442281,0.88497461398266,-1.75508307986405,2.30737214395179,-3.13773859580142,-2.56477218734429,3.95294488383206,-0.962815987431162,1.16437138133883,1.83218912771527,-2.28192116093082,10.2244914587401,-0.0209368550436586
"10",10,0.0524578601854192,-0.0551601118585068,-0.300055818991309,0.436730551390175,0.787446827814793,-1.14881317390294,0.526931069498148,-0.374383274613536,0.647478680365117,-0.922080278931166,0.00503894211655987,0.0781258614443398,-0.810269596804163,1.06900500339519,0.0959644071751267,-0.726469062150653,0.893295533879866,-1.09398498323402,-1.02171767264574,1.66308381556855,-0.761599009418747,0.921518051950372,0.832816178531559,-0.803429695440147,6.68780526055525,-0.0109926857021704
