"","boot","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6"
"1",1,-0.898544509602551,-1.34831185212672,-0.912848393261634,-0.451217928465656,-0.934206785927604,-0.88450103999494
"2",2,-0.0505548210419344,-2.23418892273694,-0.979504305153006,0.988353042387365,-1.73826400543008,1.30980294054191
"3",3,-0.608111080355354,-1.1047920873113,-0.996716733219156,-0.202011463198405,-0.705062203513887,-0.52171056355519
"4",4,-0.926837212827564,-0.401330503103467,-0.834832435796701,-0.389532808435873,0.0693895457141698,-0.994717976264561
"5",5,-0.584108593216588,-1.23263281379243,-0.759318814227454,0.439736738101004,-0.412082145956984,0.343551771700678
"6",6,-0.329245658996004,-1.92273552217865,-1.64193254684846,1.34408739991264,-1.94127679971498,1.01311549076712
"7",7,-0.675960375824676,-1.03332185667742,-0.967234039268691,0.514066365519751,-0.145907294380037,0.224846023299608
"8",8,-0.390033095407646,-0.418845732460862,-1.25321218706005,0.273590105562436,-0.852649547069223,-0.378965309113403
"9",9,-0.591636322951108,-3.30533456673265,-1.80321392189005,0.912918288442281,-3.13773859580142,1.16437138133883
"10",10,-0.0551601118585068,-1.14881317390294,-0.922080278931166,1.06900500339519,-1.09398498323402,0.921518051950372
"11",11,-0.116674162407412,0.136244243171509,-0.266043700783489,0.21648419279174,0.294914159239501,-0.291438093705526
"12",12,-1.16260414326435,-2.8423855913097,-1.90785407857394,1.16493117793568,-1.42044512590576,0.827434276957974
"13",13,-1.15483021716344,-1.95615974343361,-1.73384502339523,0.860629949637719,-1.15495247898651,0.0238990145530183
"14",14,-0.603933751933849,-0.833715081165621,-1.08389642162516,0.0552333613815296,-1.11399637183518,-0.37346023187548
"15",15,-0.410210912893011,-1.15200250483282,-1.63563453923527,0.421621691156713,-1.93895026421813,0.00787572963782518
"16",16,0.331221685282725,-1.48336081780633,-0.836143911551831,0.339146007163393,-1.83257638060799,0.341251512095635
"17",17,-0.347152544954791,-2.69005695967874,-1.62704538728495,1.59766646511508,-2.32165035950258,1.225891090759
"18",18,-0.257352230138289,-1.30827642647186,-0.563412060938885,-0.151297131218208,-0.85520490093098,-0.167119481664646
"19",19,-0.417458009073077,-1.33087709536178,-1.45640706879542,0.25328448834815,-1.82188658254469,-0.0721306573986259
"20",20,-0.28318570723724,-1.90286451315359,-0.979879058627268,1.05776536731945,-1.17401037102214,0.969597704852563
"21",21,-1.00594903507045,-1.67548240925525,-1.44190694851296,0.553257963614138,-1.00713793686152,0.167020725955444
"22",22,-0.201376461049207,-0.763850091934043,-0.586390914228345,0.177035411706479,-0.621592335798061,-0.0315524088191633
"23",23,-0.847728321692919,-0.919431070319442,-1.28438067371886,-0.200220584580163,-0.973968051600984,-0.75190262789926
"24",24,-0.572119470361462,-1.24690348435311,-0.691138247469072,-0.403847361204122,-0.80984948019216,-0.485597678616177
"25",25,-0.239370599367771,0.345835622101966,-0.577924531333944,0.0902906497938217,0.132935011307986,-0.866112232296097
"26",26,-0.295629947533326,-1.37367417158297,-0.432982672310535,-0.185517423718738,-0.716047377882162,0.136947041967905
"27",27,-1.14861061924234,-2.62613997446475,-1.23921980674323,0.179662334381682,-1.04260306862589,0.00577503710288766
"28",28,-0.767589057936694,-0.947173184304031,-1.12369991763898,0.480304432801284,-0.309320961799846,-0.178191670000302
"29",29,-0.607167222525496,-2.37831894902129,-1.19507462703843,1.28178467049613,-1.35056378546663,1.03464690290235
"30",30,-0.481246100159836,-1.88411738397769,-0.983974362353199,0.846967846548512,-1.23118084778134,0.830703549565965
"31",31,-1.72574931448695,-1.21560624736851,-1.89528687617661,0.666710525951474,-0.432806592752858,-0.353707730401504
"32",32,-0.980346671998264,-1.40208982745379,-1.65604706898439,0.720299472693387,-1.20527812926934,-0.0932512362290525
"33",33,-0.406441392328399,-2.27474104557002,-1.53985534568759,1.14812990322023,-2.13521467470617,1.08218607708481
"34",34,-0.882216541620192,-0.679476400228324,-0.668075028687047,-0.288826017582848,0.00495307423746072,-0.869260044681941
"35",35,-0.465247338868741,-0.455983108099492,-0.148545436029457,-0.406533629022484,0.28264031251565,-0.788330764911903
"36",36,-0.529949092267835,0.234125667193429,-0.679582454260108,-0.118701404456605,0.180048081236333,-0.438937470595628
"37",37,-0.127807534950376,-2.46929503741096,-0.707008024426508,0.576728957483887,-1.58302261904563,0.806840699636282
"38",38,-0.32863108643058,-3.50772053409796,-0.864099766466309,-0.169013577495051,-2.68223047798367,0.730606123530473
"39",39,-1.42336635820731,-1.41164533613852,-1.51417445132756,0.20991072015403,-0.430456670976067,-0.622904469436377
"40",40,-0.983071302083125,-1.14410150970579,-1.1079733209245,-0.246530990167168,-0.833804368157718,-0.809845594100501
"41",41,-0.184852228926138,-0.325556653251503,-0.96081996068786,0.217584267686781,-0.713316840150303,-0.278416076659114
"42",42,-0.953641607343881,-1.50447069756167,-1.70852527206787,1.17725015563808,-0.719872345729041,0.122586431616948
"43",43,-1.04165277603233,-1.30179909255938,-2.03780551432452,1.03777730518921,-1.23456161191349,-0.0779231724183139
"44",44,-0.395926552147109,0.0920190677343606,-0.496183327512867,0.11232580320253,0.150453534539097,-0.453634894475249
"45",45,-0.835045333654523,-1.29566469932283,-1.00980442705091,0.276998507115498,-0.258638504794069,-0.113914443911432
