"","boot","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6"
"1",1,-0.642762711678423,0.479010215046633,-0.292070727821604,0.584201148872659,-1.05790588134081,1.01237049385785
"2",2,-1.03223460324617,0.669941609147527,0.198954743355299,0.18479343967716,-1.70809244270167,1.20028702402985
"3",3,-0.298971041771668,0.34612470674997,-0.23576768104091,0.359255201666231,-0.747345841918643,0.83154476963851
"4",4,0.0287553612725058,0.293542205586207,-0.386818402482361,-0.018523512688491,0.197692449062184,0.0180466621851255
"5",5,-0.72228179514828,0.740724617347457,0.00673577501082157,-0.312238249577717,-0.193074507783057,0.295416741215561
"6",6,-0.658141125952909,0.719982837094816,-0.360209230199247,0.0208326982613141,-0.71977776543811,0.324868656259608
"7",7,-0.160329367044916,0.432230092616135,0.22458910482348,-0.754038314218544,-0.39084682373161,0.234572467286377
"8",8,-0.527434217903831,0.43610616067946,0.0832108532406002,0.274861350362188,-1.03741633966668,1.10968461145209
"9",9,-1.30000470175691,0.731508914710531,-0.0868024265262779,0.88497461398266,-2.56477218734429,1.83218912771527
"10",10,-0.300055818991309,0.526931069498148,0.00503894211655987,0.0959644071751267,-1.02171767264574,0.832816178531559
"11",11,-0.0663454287679138,-0.0744305517953028,0.611238582089749,-0.0912710694632239,-0.953987875960008,1.14949549972401
"12",12,-0.777710857708667,0.953866523711605,-0.535797777771811,-0.0255676041273316,-0.524664384723897,0.244628028607388
"13",13,-0.608196297487645,0.712938760388932,-0.321899300022299,0.178288090910084,-1.50124197612983,0.579158162409133
"14",14,-0.498892077108451,0.533321839570502,-0.111714500900253,0.341690862270792,-0.687613064389346,0.915091756295224
"15",15,-0.560841513451988,0.480557198575434,-0.0266117057141904,0.412888688872565,-1.04213725726098,1.01020167829388
"16",16,-0.463321013589303,0.234418929747975,-0.156404638754688,0.404563663093326,-1.32273411276431,0.824724297334159
"17",17,-1.1226999962722,0.80018292711958,-0.407315965559442,0.641317696070716,-2.26445797380542,0.925398385313691
"18",18,-0.301476501387348,0.24753650094246,-0.189263346830766,0.552763742561643,-1.01035371547069,0.920205746426372
"19",19,-0.430412661438568,0.495418466118475,-0.258842488103395,0.568238527318829,-1.08640515460449,1.03518691285052
"20",20,-1.01649900337843,0.79845653257741,-0.00200748255134063,0.267563416755821,-1.31059674249344,1.19450539100639
"21",21,-0.677370852665478,0.735945352338447,-0.189884248647506,0.358864042885144,-0.830300672738901,0.919218890375707
"22",22,-0.51190631578929,0.513700423973073,-0.0677261761415279,0.0376395562674869,-0.476106606436273,0.568491680609135
"23",23,-0.330988850220822,0.461027090341625,-0.289464635558645,0.558224669544613,-0.811786828409678,0.860024571224369
"24",24,-0.083383997288393,0.216672128405409,-0.122727079219592,0.182478795701839,-0.723216094687676,0.705162762653459
"25",25,0.190798292325993,0.0199957000188223,-0.0917357241815316,-0.157426138958255,-0.179890553342795,0.114473156648866
"26",26,0.0282028619442829,0.0540607280896593,0.0835586436239395,0.137814416168361,-0.861262985537259,0.618472300358865
"27",27,-0.642165662755485,0.659196151102961,-0.295142240296218,0.160927236257492,-0.794105146803431,0.720559756063951
"28",28,-0.279845093276158,0.75098746288178,-0.0742091121573605,-0.505498655151362,0.190285940428159,0.0735090356901593
"29",29,-0.738325917089724,0.657576716240741,-0.0476151613270996,0.0884600914475692,-1.63576081206085,0.913707534822084
"30",30,-0.867964595830243,0.578842744650467,0.342856078056617,-0.0189653456598642,-1.11560042256569,1.17745007744338
"31",31,-0.36786140911127,0.675895043775503,-0.0595515512755523,-0.250197322189095,-0.353097073186969,0.627133166218465
"32",32,-0.364524701131793,0.483450739503683,-0.0143623811584816,0.103252409705111,-1.4189652249151,0.832541343141053
"33",33,-0.445056588465516,0.375322308170254,-0.10828776750247,0.555324984291444,-1.50046679722182,1.21797060692246
"34",34,0.103928244342589,0.204617200665301,-0.243238105131194,-0.124111600550093,0.325637053673969,-0.10675526330227
"35",35,-0.14142216224175,0.361321233533111,-0.384261533414867,-0.019255952673152,0.0864838454027965,-0.000112105412350154
"36",36,-0.275684968252013,0.317232722153757,0.244932707491665,-0.248894476764908,-0.373051480500668,0.632215976903682
"37",37,-0.919631660327595,0.65838645231657,-0.181720859067732,0.655589732788486,-2.12205105618494,1.26529243003891
"38",38,-1.35924331503052,0.587865158102053,-0.287273556056678,1.31286074280045,-2.5145516761932,1.98121867541045
"39",39,-0.101385969560592,0.465791687469472,-0.150626945980671,-0.337316319977602,-0.285228670741516,0.159535937411867
"40",40,-0.144438736486751,0.132871914893995,-0.127161523148679,0.250092869323678,-0.624327646245427,0.68480767818518
"41",41,-0.132431129636287,-0.1344826855844,0.534940622422369,0.420849054265546,-1.89543006548195,1.65877512837946
"42",42,-0.498671010541264,0.752413306883976,-0.36402151385887,-0.125515010526946,-0.0800875928503496,0.198779466023604
"43",43,-0.178442759778169,0.403830904143676,-0.473801638996744,0.318668481011837,-0.69405473170578,0.345709076717463
"44",44,-0.209765902120544,0.411449341580437,0.0170562638429831,-0.340739115770575,0.386069398667347,0.119163720920193
