"","boot","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6"
"1",1,0.78614928716628,-0.189332090721407,0.475548659684135,-1.41671866121397,1.66257467027171,-1.0659247477062
"2",2,1.30952279577512,-0.376144985248008,-0.346467172634885,-0.842004194090069,2.7552509595747,-1.380256697944
"3",3,0.278560009640804,-0.0496123724739247,0.481730521677561,-1.14446802214868,1.18897138667772,-0.773058272822357
"4",4,-0.100412710574258,-0.0297653148962093,0.690839422611038,-0.628006442743922,-0.0433841883823348,0.304020102360052
"5",5,0.96616891076045,-0.629783473504206,0.100927107019036,-0.197401312766197,0.533788352362825,-0.102737206462168
"6",6,0.83570380763761,-0.531335485324148,0.53997871228943,-0.594576966167536,1.16883073982442,-0.0310777292112592
"7",7,0.161304279410272,-0.169290255512707,-0.334937203695071,0.463277245587905,0.921538411253571,-0.055147858064508
"8",8,0.46991915774293,-0.000117082137395795,-0.13825756881675,-1.00287010672907,1.70941756400401,-1.19965913846673
"9",9,1.60596432110052,-0.321720354356657,-0.0929444133215793,-1.75508307986405,3.95294488383206,-2.28192116093082
"10",10,0.436730551390175,-0.374383274613536,0.0781258614443398,-0.726469062150653,1.66308381556855,-0.803429695440147
"11",11,-0.0673013723894221,0.638651146491324,-0.796834284539202,-0.590889879715997,1.72453412998891,-1.32988906925559
"12",12,1.16809829792027,-1.12152616173893,0.874447204535229,-0.499812756793611,0.937659445770597,-0.0228181482035806
"13",13,0.870219105201824,-0.687978389425049,0.515860214152111,-0.818165541408376,2.37314401428053,-0.484422972477995
"14",14,0.629319105224501,-0.260175092440836,0.236007261386936,-1.01259289701613,1.05425726235298,-0.881778102359797
"15",15,0.634930715209119,-0.133788243447592,0.0485146365715855,-1.13409769693477,1.59357264868011,-1.00346278287971
"16",16,0.548486576930278,0.178696021581288,0.270956074440507,-1.19889452355489,2.11325017584786,-0.853074302289658
"17",17,1.5166393449635,-0.611071792672442,0.498127777032116,-1.41025524964558,3.50345598267248,-0.906367729584297
"18",18,0.421444466527772,0.0241833082270763,0.40277049203442,-1.35627195033607,1.57914816677142,-0.952420924787791
"19",19,0.471083258743141,-0.190286802733083,0.447261876087394,-1.36917939977499,1.61805316477015,-1.04220761089377
"20",20,1.35946361793193,-0.718372355322911,0.0847010211063012,-0.984593281338195,2.10934042464856,-1.33746573315085
"21",21,0.874975029373636,-0.61720140141602,0.339237460688503,-1.03985163547843,1.31058162081294,-0.907787975649012
"22",22,0.574524007870558,-0.210838567202537,0.161659806073929,-0.707732056266231,0.88610876233389,-0.42763342267745
"23",23,0.37187254772866,-0.17829238247516,0.505463239676375,-1.32626059707163,1.22024549828813,-0.785221053920294
"24",24,0.0380185265208875,0.147867137310227,0.291173800105685,-0.896607569513773,1.22651250210264,-0.676366890193988
"25",25,-0.304605761175843,0.400004950879979,0.290545515511273,-0.434000498320442,0.475238638112173,0.186728733825547
"26",26,-0.0989003208524073,0.363874047525036,-0.0946815821325805,-0.798519065541307,1.51431187965451,-0.605681808075367
"27",27,0.842054311632016,-0.563009474059884,0.54858618731671,-0.869148710129105,1.37728746085147,-0.719878600781614
"28",28,0.3541159128211,-0.688037415899896,0.228959740806997,0.0439742558302543,0.0278761165059577,0.236882668493839
"29",29,1.15106488525342,-0.662468231571195,0.15309514767847,-0.710276449385193,2.70796862101712,-1.04322276437883
"30",30,1.1856319692328,-0.367393037440947,-0.414694758145545,-0.556552840879694,1.79144911468971,-1.30616641512416
"31",31,0.460763793789559,-0.606112467452359,0.202577925946415,-0.218430687660484,0.640858700389426,-0.499408821888861
"32",32,0.478877941076574,-0.249452678556145,0.0369564772608259,-0.690137901488171,2.25678127633312,-0.817394788943229
"33",33,0.636202904103274,-0.123966374968429,0.230087462188576,-1.3174041435134,2.30913700029969,-1.36511193755597
"34",34,-0.0913941324725272,0.0311482780862508,0.466632333844544,-0.360212010818411,-0.318593165254726,0.502675906253616
"35",35,0.139963826766772,-0.108693397568019,0.688947433569634,-0.659799998299177,0.128027306942304,0.329167405165766
"36",36,0.206544226082412,0.122279228572881,-0.283968146536845,-0.297143192736685,0.767999920303196,-0.533329904520891
"37",37,1.27110305626102,-0.533220317661171,0.295126960303025,-1.5713667918168,3.40111604157099,-1.53252840760666
"38",38,1.86611851079978,-0.37322869057152,0.43490592441033,-2.38026583162715,3.68908300913046,-2.45209347112823
"39",39,0.197415152910597,-0.378515382971343,0.311247200094009,-0.0656042361808792,0.617006996609238,0.104729054279746
"40",40,0.114657118134092,0.271047373658398,0.270592264582886,-0.963429596895362,1.06608784174039,-0.614964743243655
"41",41,0.00307319628838602,0.799244624769876,-0.761547663925119,-1.19923155855729,2.94326027263442,-2.00354057745432
"42",42,0.730681833112721,-0.732065443193121,0.661159968304427,-0.412440814380344,0.323950752898424,0.0792296921132956
"43",43,0.309065737745586,-0.239329546651287,0.785871884138578,-0.952790519460048,1.09018641115122,-0.0905654563757973
"44",44,0.261949318615354,-0.190674272046157,0.16328580379812,-0.215066928813347,-0.326535384319908,0.20010321379939
"45",45,0.278623558588721,-0.230527164221484,-0.0379955093104412,-0.181499482917012,1.40031838338266,-0.33849036408129
"46",46,0.191256879772021,0.324273830810187,-0.388181648718235,-0.230097892596781,0.935254977518655,-0.582692247439632
"47",47,0.423454996488993,0.174555275433951,-0.333163226186924,-0.857548533305019,1.88135429465487,-1.05553710797138
"48",48,0.460958455122783,-0.33718447787439,0.234115969974448,-0.239669649071286,0.843793935896983,-0.0419503153402
